Date,Demand_Avg_MW,Demand_Min_MW,Demand_Max_MW,Demand_Std_MW,Wind_Avg_MW,Solar_Avg_MW,Price_Avg_kWh,Temperature_Avg_C,Rainfall_Total_mm,Year,Month,DayOfWeek,IsWeekend
2024-12-15,27359.8125,20095.0,35317.0,4893.6173178393765,4464.270833333333,285.3125,0.2582700021794268,7.550000000000001,1305.6,2024,12,6,1
2024-12-16,30174.270833333332,19664.0,38405.0,6305.180850965857,4143.875,366.7083333333333,0.2582700021794268,7.550000000000001,1305.6,2024,12,0,0
2024-12-17,31306.958333333332,21552.0,38367.0,6181.590244886327,3608.7708333333335,106.10416666666667,0.2582700021794268,7.550000000000001,1305.6,2024,12,1,0
2024-12-18,29689.9375,19469.0,38759.0,6143.285147237265,4393.520833333333,285.0,0.2582700021794268,7.550000000000001,1305.6,2024,12,2,0
2024-12-19,31233.6875,21508.0,39472.0,5726.72234114824,3579.25,802.8541666666666,0.2582700021794268,7.550000000000001,1305.6,2024,12,3,0
2024-12-20,31473.458333333332,22646.0,37637.0,5146.7528534404255,3217.8125,303.9375,0.2582700021794268,7.550000000000001,1305.6,2024,12,4,0
2024-12-21,26751.1875,19773.0,33481.0,4140.177063004903,5151.395833333333,235.625,0.2582700021794268,7.550000000000001,1305.6,2024,12,5,1
2024-12-22,26376.458333333332,18765.0,34995.0,5220.589291585616,5613.0625,620.0625,0.2582700021794268,7.550000000000001,1305.6,2024,12,6,1
2024-12-23,30792.458333333332,20828.0,38602.0,6440.701554090613,2500.1875,237.02083333333334,0.2582700021794268,7.550000000000001,1305.6,2024,12,0,0
2024-12-24,27442.895833333332,20459.0,33348.0,4432.340351204816,2803.5416666666665,311.7291666666667,0.2582700021794268,7.550000000000001,1305.6,2024,12,1,0
2024-12-25,24570.229166666668,17826.0,31782.0,4335.527812671756,2285.2291666666665,304.25,0.2582700021794268,7.550000000000001,1305.6,2024,12,2,0
2024-12-26,25268.020833333332,18286.0,31173.0,4490.556158938226,726.1666666666666,187.08333333333334,0.2582700021794268,7.550000000000001,1305.6,2024,12,3,0
2024-12-27,28691.895833333332,20203.0,36058.0,5307.297786767679,533.3125,165.58333333333334,0.2582700021794268,7.550000000000001,1305.6,2024,12,4,0
2024-12-28,28329.416666666668,21089.0,35628.0,4808.642790046845,1237.4166666666667,142.16666666666666,0.2582700021794268,7.550000000000001,1305.6,2024,12,5,1
2024-12-29,26133.604166666668,19171.0,33937.0,4698.099338367991,3364.8333333333335,356.1458333333333,0.2582700021794268,7.550000000000001,1305.6,2024,12,6,1
2024-12-30,26732.645833333332,18782.0,35067.0,5040.19349294898,3748.2083333333335,609.2083333333334,0.2582700021794268,7.550000000000001,1305.6,2024,12,0,0
2024-12-31,25260.770833333332,18309.0,32513.0,4575.807377843958,5255.645833333333,268.0208333333333,0.2582700021794268,7.550000000000001,1305.6,2024,12,1,0
2025-01-01,25428.416666666668,17383.0,34021.0,5538.312669663058,3609.25,85.625,0.2582700021794268,7.550000000000001,1305.6,2025,1,2,0
2025-01-02,31568.1875,21857.0,41707.0,6457.12707230743,1672.9791666666667,1039.6458333333333,0.2582700021794268,7.550000000000001,1305.6,2025,1,3,0
2025-01-03,33567.666666666664,24176.0,42419.0,5806.342567760222,1443.5833333333333,976.2083333333334,0.2582700021794268,7.550000000000001,1305.6,2025,1,4,0
2025-01-04,32383.458333333332,24352.0,40185.0,5103.949475998573,1021.1666666666666,237.25,0.2582700021794268,7.550000000000001,1305.6,2025,1,5,1
2025-01-05,30737.354166666668,22992.0,39049.0,5673.616571425738,2457.2083333333335,93.20833333333333,0.2582700021794268,7.550000000000001,1305.6,2025,1,6,1
