Quarter_End_Date,Demand_MW,Quarterly_Price_per_kWh,Arrears_Billions_GBP,Financial_Stress_Index,Quarter,Year,Is_Crisis_Period
2024-12-31,29021.31028972521,53.62435594591404,3.85,1556252.9229930425,4,2024,1
2025-03-31,30810.2525921659,50.84843620589182,4.15,1566657.313420161,1,2025,1
2025-06-30,22384.616203703703,50.84843620589182,4.43,1138227.1590274,2,2025,1
2025-09-30,22701.092585125447,50.84843620589182,4.48,1154319.538118795,3,2025,1
2025-12-31,28853.459386200717,50.84843620589182,4.55,1467157.8389185178,4,2025,1
2026-03-31,26121.57535787152,,0.0,,1,2026,0
2026-06-30,20580.6654442745,,0.0,,2,2026,0
2026-09-30,19840.794833000113,,0.0,,3,2026,0
2026-12-31,23882.693603430263,,0.0,,4,2026,0
2027-03-31,24796.89610885254,,0.0,,1,2027,0
2027-06-30,19585.513781658603,,0.0,,2,2027,0
2027-09-30,18793.92645264158,,0.0,,3,2027,0
2027-12-31,22741.040654518478,,0.0,,4,2027,0
2028-03-31,23336.16464967871,,0.0,,1,2028,0
2028-06-30,18486.368529035957,,0.0,,2,2028,0
2028-09-30,17943.86876628285,,0.0,,3,2028,0
2028-12-31,21304.9793668108,,0.0,,4,2028,0
2029-03-31,22322.559326294286,,0.0,,1,2029,0
2029-06-30,17493.33379726244,,0.0,,2,2029,0
2029-09-30,16895.227152240335,,0.0,,3,2029,0
2029-12-31,20167.8888967844,,0.0,,4,2029,0
2030-03-31,21000.946205595294,,0.0,,1,2030,0
2030-06-30,16496.573573660742,,0.0,,2,2030,0
2030-09-30,15852.87984849945,,0.0,,3,2030,0
2030-12-31,19020.580791950528,,0.0,,4,2030,0
2031-03-31,19685.568584394674,,0.0,,1,2031,0
2031-06-30,15496.226520516822,,0.0,,2,2031,0
2031-09-30,14816.749262599827,,0.0,,3,2031,0
2031-12-31,17863.34419559917,,0.0,,4,2031,0
2032-03-31,18264.171631000732,,0.0,,1,2032,0
2032-06-30,14413.352540033064,,0.0,,2,2032,0
2032-09-30,13933.88305832093,,0.0,,3,2032,0
2032-12-31,16475.564908357097,,0.0,,4,2032,0
2033-03-31,17192.263540877088,,0.0,,1,2033,0
2033-06-30,13414.668186296287,,0.0,,2,2033,0
2033-09-30,12896.3703794962,,0.0,,3,2033,0
2033-12-31,15321.877520864628,,0.0,,4,2033,0
2034-03-31,15880.317053320461,,0.0,,1,2034,0
2034-06-30,12412.481703046607,,0.0,,2,2034,0
2034-09-30,11864.96486399867,,0.0,,3,2034,0
2034-12-31,14158.467980470436,,0.0,,4,2034,0
2035-03-31,14574.241059936912,,0.0,,1,2035,0
2035-06-30,11406.939259374703,,0.0,,2,2035,0
2035-09-30,10839.572072557841,,0.0,,3,2035,0
2035-12-31,12985.647736680063,,0.0,,4,2035,0
